ssa_tier_1,gm_row_count
"Agriculture, Horticulture and Animal Care",840
"Arts, Media and Publishing",840
"Business, Administration and Law",840
"Construction, Planning and the Built Environment",840
Digital Technology,840
Education and Training,840
Engineering and Manufacturing Technologies,840
"Health, Public Services and Care",840
"History, Philosophy and Theology",840
"Leisure, Travel and Tourism",840
Retail and Commercial Enterprise,840
Science and Mathematics,840
Social Sciences,840
Total,840
